#,Day,Title,Start Time,End Time,Location,Type,Special,Moderator,Panelist 1,Panelist 2,Panelist 3,Panelist 4,Panelist 5,Panelist 6
1,"Thursday, 03/06/2025",Morning Mingle & Cafecito,8:00 AM,8:30 AM,RLP 1.302 B,Break,TRUE,,,,,,,
2,"Thursday, 03/06/2025",Welcome Address,8:30 AM,8:45 AM,,Break,TRUE,,,,,,,
3,"Thursday, 03/06/2025","BIPOC PoP Education: Teaching, Creating, & Resisting",9:00 AM,9:45 AM,RLP 1.302 B,Panel,FALSE,Dani Orozco,Leticia Urieta ,Liz Rocha-Seelig,Ernesto Cuevas,,,
4,"Thursday, 03/06/2025",Xicanxfuturism: Shaping Our Future,10:00 AM,10:45 AM,RLP 1.302 B,Panel,FALSE,Jiba Molei Anderson,Osmani R Alcaraz-Ocha,Erika Said,Juan G. Berumen,Luis Valdera,Jaime Javier Rodriguez,Scott Russell Duncan
5,"Thursday, 03/06/2025",How to Make a Graphic Novel,10:00 AM,10:45 AM,,Workshop,FALSE,Ngozi Ukazu,,,,,,
6,"Thursday, 03/06/2025",Hilando Sones/ The Weaver's Songs,10:00 AM,12:00 PM,RLP 1.302 F,Screening,FALSE,Larry Rattner,Ismael Vásquez Bernabé,,,,,
7,"Thursday, 03/06/2025",Monsters for End Times,11:00 AM,11:45 AM,RLP 1.302 B,Panel,FALSE,Joanna Davis-McElligat,Dante Olivas,Travis Torres Thompson,Colton Campel,,,
8,"Thursday, 03/06/2025",Benson Archive Tour,11:00 AM,1:00 PM,Benson Archival Tour,Tour,TRUE,Benson Latin American Collection,,,,,,
9,"Thursday, 03/06/2025",Lunch ,12:00 PM,1:00 PM,,Break,TRUE,,,,,,,
10,"Thursday, 03/06/2025",Awards ,12:00 PM,1:00 PM,RLP 1.302 B,Awards,TRUE,,,,,,,
11,"Thursday, 03/06/2025",The Art if BIPOC Comic Writing,1:00 PM,1:45 PM,RLP 1.302 B,Panel,FALSE,Enrique García,Darius Yancy,Robert Carmichael,José Alaniz ,Jiba Molei Anderson,,
12,"Thursday, 03/06/2025",The Casual Comic Creating Conundrum,1:00 PM,1:45 PM,RLP 1.302 C,Workshop,FALSE,Patrick Lugo,,,,,,
13,"Thursday, 03/06/2025",Redefining Art in Diverse Spaces,2:00 PM,2:45 PM,RLP 1.302 B,Panel,FALSE,Lee Franscis IV,Dianita Vargas,Ho-Seh Esquivel,Sienna Wright,Chrs Peraza,Peter Bonfitto,2spiritqueer 
